time,voltage,prim,bis,channel,stim
0.0,3.3529492437437693e-05,,,0,a
0.0001,3.4273358219520936e-05,,,0,a
0.0002,3.336461324681274e-05,1.4170930115741813e-07,,0,a
0.0003,3.395462034090995e-05,-1.9115843673614148e-07,,0,a
0.0004,3.369988290931253e-05,-6.92292378333959e-08,-1.0497502620064708e-07,0,a
0.0005,3.3156925533312526e-05,-1.7321577744452315e-07,1.0078328047842397e-07,0,a
0.0006,3.3434973008576405e-05,1.1119140469913045e-07,1.4825496747998508e-07,0,a
0.0007,3.40334571234099e-05,3.7553566460655927e-07,1.7604128718523625e-07,0,a
0.0008,3.4283532527132204e-05,3.5490808411118565e-07,-1.0732955043985423e-07,0,a
0.0009,3.449969726090997e-05,-2.1079724662043228e-07,-1.3944842975002042e-07,0,a
0.001,3.3401065383548606e-05,-4.280962464350195e-08,-3.800568790555989e-07,0,a
0.0011,3.4155103653201705e-05,-7.85262553055611e-07,1.0629337230712619e-07,0,a
0.0012,3.214390960174312e-05,1.0808287030094634e-07,1.640791577283417e-07,0,a
0.0013,3.372531399445146e-05,4.494278485415231e-07,4.578108384753321e-07,0,a
0.0014,3.550338719882627e-05,5.881699623703853e-07,-5.4253411141983724e-08,0,a
0.0015,3.3908419488854285e-05,-5.467736312500494e-08,-2.751292236727711e-07,0,a
0.0016,3.356128190507643e-05,-3.759598224767902e-07,-7.177288668828146e-08,0,a
0.0017,3.43755077313959e-05,3.728513023055409e-07,1.8027977050926938e-07,0,a
0.0018,3.50269733957709e-05,4.861619484028033e-07,1.356335004322679e-08,0,a
0.0019,3.501976775028484e-05,-3.352697723471099e-07,-3.7581839129318995e-07,0,a
0.002,3.336969841435457e-05,-7.546038715740288e-07,-2.2139369929013867e-07,0,a
0.0021,3.276316178104883e-05,-1.7801914946761273e-07,3.1671424031476603e-07,0,a
0.0022,3.448571030188201e-05,6.148729485971882e-07,3.594764203873249e-07,0,a
0.0023,3.521431726014614e-05,3.2382538958794575e-07,-5.962237019287633e-08,0,a
0.0024,3.373463794981266e-05,-3.568862600462417e-07,-3.3277362138738357e-07,0,a
0.0025,3.341505152174328e-05,-3.8344791556496236e-07,-9.800462864506502e-08,0,a
0.0026,3.406397351345125e-05,2.981150365275072e-08,1.8037458009204798e-08,0,a
0.0027,3.382407246077091e-05,-3.0277388601862733e-07,2.306244773905121e-07,0,a
0.0028,3.2506729863687395e-05,3.0842551660657395e-07,6.6402395000016036e-09,0,a
0.0029,3.498925006327098e-05,4.973222215275553e-08,3.5999440567907804e-07,0,a
0.003,3.397326912722918e-05,7.772093310186068e-07,-1.0935468052007663e-07,0,a
0.0031,3.4838357856743215e-05,-1.9638524953655948e-08,-1.3977801027310159e-07,0,a
0.0032,3.4930334488409985e-05,-3.696018086665493e-07,-4.284235044521911e-07,0,a
0.0033,3.2864463701229536e-05,-5.080611823379664e-07,-6.169476489233962e-09,0,a
0.0034,3.3314174309729316e-05,-3.814695442135778e-08,1.8899238646442824e-07,0,a
0.0035,3.481589362514591e-05,1.9737535072673537e-07,3.2283651574844044e-07,0,a
0.0036,3.345658975340976e-05,4.604483649073548e-07,-9.263586766665625e-08,0,a
0.0037,3.4695519404451373e-05,-3.160545574213265e-07,5.52895645833829e-08,0,a
0.0038,3.386772995288193e-05,3.6324404447688407e-07,-2.628376266125939e-07,0,a
0.0039,3.454632188684041e-05,-3.2806451493042684e-07,3.974808213120718e-08,0,a
0.004,3.37113258596601e-05,-1.9681031102770496e-07,-2.1447083479322922e-07,0,a
0.0041,3.327729901979882e-05,-2.8016845990280363e-07,1.704372225585596e-07,0,a
0.0042,3.3705816507132e-05,1.8324715274525193e-07,7.874299301232001e-08,0,a
0.0043,3.426106731789584e-05,3.9418668009255056e-08,8.608977020218916e-08,0,a
0.0044,3.339555502382661e-05,-2.1899149296236156e-08,-1.0817736250920281e-07,0,a
0.0045,3.364011905924327e-05,-1.4128493478235649e-07,7.549334454474971e-08,0,a
0.0046,3.383721251354877e-05,2.658987016435042e-07,1.6064108342742905e-07,0,a
0.0047,3.419325112875714e-05,4.6002410098605097e-07,1.1105001003236734e-07,0,a
0.0048,3.502019136220141e-05,1.918650953147455e-07,-9.39547393210091e-08,0,a
0.0049,3.4412807799493016e-05,-1.5965516319523052e-08,-2.19839542412034e-07,0,a
0.005,3.414535457979857e-05,-1.9949452625005112e-07,-8.07209325138249e-08,0,a
0.0051,3.442170778345125e-05,-5.029770222672922e-08,9.885252994139956e-08,0,a
0.0052,3.426191469281282e-05,2.805920735046756e-07,1.0756507964048025e-07,0,a
0.0053,3.498713080031261e-05,1.2320071267138963e-07,1.0784767918819734e-07,0,a
0.0054,3.479130992146542e-05,2.732453353378628e-07,-2.8478354823919643e-07,0,a
0.0055,3.50816506988264e-05,-5.737585712129137e-07,-1.7872560550466742e-07,0,a
